id,uri,rank,artist_names,artists_num,artist_individual,artist_id,artist_genre,artist_img,collab,track_name,release_date,album_num_tracks,album_cover,source,peak_rank,previous_rank,weeks_on_chart,streams,week,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,country,region,language,pivot
0,spotify:track:2gpQi3hbcUAcEG8m2dlgfB,1,Paulo Londra,1.0,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,argentine hip hop,https://i.scdn.co/image/ab6761610000e5ebf796a976c5597baf6f7b786c,0,Plan A,2022-03-23,1.0,https://i.scdn.co/image/ab67616d0000b2737e1179e64539bedc938933ef,WEA Latina,1,1,4,3003411,2022-04-14,0.583,0.8340000000000001,0.0,1.0,-4.875,0.0444,0.0495,0.0,0.0658,0.557,173.935,178203.0,Argentina,South America,Spanish,0
1,spotify:track:2x8oBuYaObjqHqgGuIUZ0b,2,WOS,1.0,WOS,spotify:artist:5YCc6xS5Gpj3EkaYGdjyNK,argentine indie,https://i.scdn.co/image/ab6761610000e5eb75e1511f68e988110962dd9c,0,ARRANCARMELO,2022-04-06,1.0,https://i.scdn.co/image/ab67616d0000b273d8c9945c63f1806031dae6f0,DOGUITO Records / DALE PLAY Records,2,129,2,2512175,2022-04-14,0.654,0.354,5.0,1.0,-7.358,0.0738,0.7240000000000001,0.0,0.134,0.262,81.956,183547.0,Argentina,South America,Spanish,0
2,spotify:track:2SJZdZ5DLtlRosJ2xHJJJa,3,Paulo Londra,1.0,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,argentine hip hop,https://i.scdn.co/image/ab6761610000e5ebf796a976c5597baf6f7b786c,0,Chance,2022-04-06,2.0,https://i.scdn.co/image/ab67616d0000b273274a28ec692ca28a73da1288,WEA Latina,3,59,2,2408983,2022-04-14,0.721,0.463,1.0,0.0,-9.483,0.0646,0.241,0.0,0.0929,0.21600000000000005,137.915,204003.0,Argentina,South America,Spanish,0
3,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,5,Cris Mj,1.0,Cris Mj,spotify:artist:1Yj5Xey7kTwvZla8sqdsdE,urbano chileno,https://i.scdn.co/image/ab6761610000e5eb8f4ebcf4a5d23a2515374f89,0,Una Noche en Medellín,2022-01-21,1.0,https://i.scdn.co/image/ab67616d0000b273697ed12671078b5dee48f0ad,Nabru Records LLC,5,5,8,2080139,2022-04-14,0.87,0.5479999999999999,10.0,0.0,-5.252999999999999,0.077,0.0924,4.6e-05,0.0534,0.8320000000000001,96.018,153750.0,Argentina,South America,Spanish,0
4,spotify:track:1TpZKxGnHp37ohJRszTSiq,6,Emilia,1.0,Emilia,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,pop argentino,https://i.scdn.co/image/ab6761610000e5ebaf96d1453d77d1d758c224bd,0,cuatro veinte,2022-03-24,1.0,https://i.scdn.co/image/ab67616d0000b273116b57ed14bc15d57eb838fa,Sony Music Latin,6,9,3,1923270,2022-04-14,0.7609999999999999,0.696,7.0,0.0,-3.817,0.0505,0.0811,6.25e-05,0.101,0.501,95.066,133895.0,Argentina,South America,Spanish,0
5,spotify:track:4LRPiXqCikLlN15c3yImP7,11,Harry Styles,1.0,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,1.0,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,Columbia,6,6,2,1555631,2022-04-14,0.52,0.731,6.0,0.0,-5.337999999999999,0.0557,0.342,0.00101,0.311,0.662,173.93,167303.0,Argentina,South America,Spanish,0
6,spotify:track:3EcCc1U405tm8yKm1x6Y8W,17,La K'onga,1.0,La K'onga,spotify:artist:3ghRXw2nUEH2THaL82hw8R,cuarteto,https://i.scdn.co/image/ab6761610000e5eb951872d2fc5bc8de4d00cb26,0,Te Mentiría,2021-12-09,14.0,https://i.scdn.co/image/ab67616d0000b273fa17577af2ad7cd6636616f8,Leader Music,14,16,47,1272870,2022-04-14,0.6509999999999999,0.731,7.0,1.0,-6.8889999999999985,0.0549,0.116,0.0,0.0708,0.653,153.10399999999996,218431.0,Argentina,South America,Spanish,0
7,spotify:track:42Gzfqnfpk7Pp1ydM60eNn,20,Maria Becerra,1.0,Maria Becerra,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,pop argentino,https://i.scdn.co/image/ab6761610000e5eb459b9d1006bd715a7e2d5663,0,Felices x Siempre,2022-02-22,1.0,https://i.scdn.co/image/ab67616d0000b2734d647b8989fa65faeeb841f6,300 Entertainment,11,15,8,1149499,2022-04-14,0.7709999999999999,0.467,5.0,0.0,-6.653,0.123,0.375,0.00974,0.112,0.256,100.089,199657.0,Argentina,South America,Spanish,0
8,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,23,Anitta,1.0,Anitta,spotify:artist:7FNnA9vBm6EKceENgCGRMb,funk pop,https://i.scdn.co/image/ab6761610000e5eb847940395e7b755f626ad139,0,Envolver,2022-04-12,15.0,https://i.scdn.co/image/ab67616d0000b27396e2642422ad16661e673fa2,Warner Records,13,17,6,1104997,2022-04-14,0.812,0.736,4.0,0.0,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,193806.0,Argentina,South America,Spanish,0
9,spotify:track:5Us3svqTvNAdnQfEYfoL5g,24,LIT killah,1.0,LIT killah,spotify:artist:1vqR17Iv8VFdzure1TAXEq,argentine hip hop,https://i.scdn.co/image/ab6761610000e5eb67d0ad198019f83fe131304b,0,La Trampa es Ley,2022-02-10,1.0,https://i.scdn.co/image/ab67616d0000b2735ef615c7cdc285d5fbd24003,WEA Latina,2,21,9,1076236,2022-04-14,0.596,0.71,6.0,1.0,-5.815,0.136,0.243,0.0,0.204,0.632,117.871,141864.0,Argentina,South America,Spanish,0
